@relation kredyty-30-dniowe-weka.filters.unsupervised.attribute.StringToNominal-R1-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.attribute.Remove-R1

@attribute kwoty-kredytu numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute rodzaj-zrodla-dochodu numeric
@attribute miesieczny-dochod-netto numeric
@attribute ktore-rolowanie numeric
@attribute okres-w-jakim-pobieral�-dochod numeric
@attribute okres-w-jakim-bedzie-pobierac�-dochod numeric
@attribute opoznione-splaty numeric

@data
381.29,70,K,13,1291.18,2,76,48,0
400,44,M,12,1952.35,1,1,12,0
900,59,K,13,1370,1,73,48,0
300,65,K,13,665.92,2,122,48,300
400,61,K,13,1170,0,75,48,0
400,56,K,11,1187.06,1,130,48,2
400,50,K,17,990,2,69,48,0
500,53,M,11,2080,2,315,48,0
400,54,K,12,1700,2,52,48,0
200,30,K,11,1373.34,0,55,48,0
200,25,K,17,1200,2,162,48,0
600,35,K,11,2400,1,110,48,0
500,58,M,17,1485,1,140,48,0
200,28,M,12,1136.86,0,9,24,1
500,61,K,13,1362,2,53,48,6
500,49,M,11,3250,1,2,48,2075
500,67,M,16,1600,0,9,48,0
426.61,49,K,11,2470,2,351,48,0
400,52,K,12,1040,2,15,19,2075
400,64,K,13,1015,2,106,48,4
200,68,K,13,1017,2,158,48,0
350,56,K,17,547.89,1,53,48,13
600,39,K,11,1800,1,49,48,11
800,33,K,11,2050,0,26,48,5
200,66,K,13,910,2,67,48,1
200,43,M,11,2284.23,0,297,48,0
400,50,K,11,1577.42,2,202,48,11
600,31,K,12,855,2,41,48,2075
600,33,K,12,1540,1,36,40,5
575.74,32,M,11,2050,2,115,48,1
400,54,K,11,2368.57,0,407,48,0
500,50,K,11,4900,0,8,48,0
300,73,M,13,1457,1,76,48,3
200,66,K,13,1216,2,138,48,0
400,61,K,13,1280,2,14,48,0
500,49,K,11,1800,2,50,48,3
600,25,M,11,1110,0,7,48,2074
670.73,63,K,13,930,2,91,48,11
500,33,M,11,1500,1,99,48,2073
400,33,M,11,1033,1,33,48,303
500,61,K,13,1160,1,75,48,3
300,58,K,13,1244.77,2,36,48,4
200,72,K,13,930,2,236,48,0
500,70,K,13,1200,2,116,48,16
600,69,M,13,2015.55,0,108,48,5
400,67,K,13,1085,2,163,48,3
500,30,M,11,2700,2,61,48,2
400,34,K,11,980.11,2,42,48,10
200,73,K,13,866.46,2,192,48,0
700,58,K,13,1872,2,32,48,2
600,51,M,12,2673.17,2,109,48,5
400,59,K,13,1400,1,51,48,0
500,36,K,11,1700,1,194,48,5
400,35,M,11,2700,1,5,48,2073
500,58,M,16,1770,2,86,48,0
500.8,35,K,98,4000,2,16,48,2
200,27,M,17,728,2,97,48,2
200,64,K,13,2113.24,1,58,48,0
300,52,K,16,685,0,38,48,0
400,60,K,11,1906.42,0,209,48,0
281.29,57,M,13,1561.87,1,194,48,2071
